feature 1;feature 2;feature 3;feature 4 feature 5;label;;;;;;;;;;;;;;;;
 29.0000;0;0; 211.3375;female;;;;;;;;;;;;;;1;;
0.9167;1;2; 151.5500;male;;;;;;;;;;;;;;;;1
2.0000;1;2; 151.5500;female;;;;;;;;;;;;;;;0;
 30.0000;1;2; 151.5500;male;;;;;;;;;;;;;;;0;
 25.0000;1;2; 151.5500;female;;;;;;;;;;;;;;0;;
 48.0000;0;0;26.5500;male;;;;;;;;;;;;;;;;1
 63.0000;1;0;77.9583;female;;;;;;;;;;;;;;;1;
 39.0000;0;0; 0.0000;male;;;;;;;;;;;;;;;;0
 53.0000;2;0;51.4792;female;;;;;;;;;;;;;;;1;
 71.0000;0;0;49.5042;male;;;;;;;;;;;;;;;;0
47.0000;1;0; 227.5250;male;;;;;;;;;;;;;;;0;
18.0000;1;0; 227.5250;female;;;;;;;;;;;;;;1;;
24.0000;0;0;69.3000;female;;;;;;;;;;;;;;;1;
26.0000;0;0;78.8500;female;;;;;;;;;;;;;;;1;
80.0000;0;0;30.0000;male;;;;;;;;;;;;;;;;1
